Imagen: 001197_M_18_180340_5443109.jpg | Altura: 1.59 m | PB: 1.21 cm | PP: -2.72 cm | Clase: 0
Imagen: 0_F_35_172720_15966452.jpg | Altura: 1.80 m | PB: 0.83 cm | PP: -1.74 cm | Clase: 0
Imagen: 002207_M_31_187960_10432625.jpg | Altura: 1.92 m | PB: 1.35 cm | PP: -1.45 cm | Clase: 0
Imagen: 000275_M_18_195580_12156276.jpg | Altura: 1.77 m | PB: 1.40 cm | PP: -1.82 cm | Clase: 0
Imagen: 000319_F_28_160020_6214216.jpg | Altura: 1.47 m | PB: 1.08 cm | PP: -1.52 cm | Clase: 0
Imagen: 001234_M_19_172720_7484274.jpg | Altura: 1.58 m | PB: 1.17 cm | PP: -0.62 cm | Clase: 0
Imagen: 001173_M_22_172720_6350294.png | Altura: 1.69 m | PB: 0.81 cm | PP: -2.42 cm | Clase: 0
Imagen: 002028_M_27_187960_17055074.jpg | Altura: 1.74 m | PB: 1.89 cm | PP: -1.26 cm | Clase: 0
Imagen: 0_F_24_177800_14741753.jpg | Altura: 1.68 m | PB: 0.82 cm | PP: -1.06 cm | Clase: 0
Imagen: 0_F_24_172720_8482178.jpg | Altura: 1.82 m | PB: 1.13 cm | PP: -0.92 cm | Clase: 0
Imagen: 001319_M_21_187960_8527537.jpg | Altura: 1.77 m | PB: 1.18 cm | PP: -0.41 cm | Clase: 0
Imagen: 001558_M_20_182880_8119304.jpg | Altura: 1.13 m | PB: 0.93 cm | PP: 0.15 cm | Clase: 0
Imagen: 002080_F_33_170180_10432625.jpg | Altura: 1.62 m | PB: 0.73 cm | PP: -1.55 cm | Clase: 0
Imagen: 001051_F_22_172720_12246995.jpg | Altura: 1.75 m | PB: 0.99 cm | PP: -2.07 cm | Clase: 0
Imagen: 2_F_23_162560_7076040.png | Altura: 1.73 m | PB: 0.78 cm | PP: -2.43 cm | Clase: 0
Imagen: 002294_M_37_187960_10750140.png | Altura: 1.41 m | PB: 1.21 cm | PP: -2.34 cm | Clase: 0
Imagen: 1_F_30_162560_7711071.jpg | Altura: 1.91 m | PB: 1.72 cm | PP: -1.01 cm | Clase: 0
Imagen: 000793_F_27_177800_7393555.png | Altura: 1.48 m | PB: 1.23 cm | PP: -0.80 cm | Clase: 0
Imagen: 001331_M_26_180340_9253285.jpg | Altura: 1.67 m | PB: 0.14 cm | PP: -1.20 cm | Clase: 0
Imagen: 001031_F_23_170180_8164663.jpg | Altura: 1.43 m | PB: 1.28 cm | PP: 0.43 cm | Clase: 0
Imagen: 001752_M_23_185420_8391459.jpg | Altura: 1.51 m | PB: 1.04 cm | PP: -1.78 cm | Clase: 0
Imagen: 000040_F_21_160020_7076040.jpg | Altura: 1.79 m | PB: 1.57 cm | PP: -0.21 cm | Clase: 0
Imagen: 000914_F_26_154940_9298644.jpg | Altura: 1.51 m | PB: 1.51 cm | PP: -2.69 cm | Clase: 0
Imagen: 000716_F_30_162560_7030682.jpg | Altura: 1.85 m | PB: 0.96 cm | PP: 0.86 cm | Clase: 0
Imagen: 000485_M_32_180340_10160470.png | Altura: 1.40 m | PB: 1.46 cm | PP: -0.13 cm | Clase: 0
Imagen: 001504_F_23_154940_5669905.jpg | Altura: 1.85 m | PB: 1.51 cm | PP: -1.78 cm | Clase: 0
Imagen: 001552_F_23_160020_6441012.jpg | Altura: 1.75 m | PB: 1.62 cm | PP: -1.64 cm | Clase: 0
Imagen: 001152_M_34_180340_16782919.jpg | Altura: 1.53 m | PB: 1.24 cm | PP: -2.25 cm | Clase: 0
Imagen: 001015_F_23_167640_8981130.jpg | Altura: 1.96 m | PB: 1.77 cm | PP: -0.91 cm | Clase: 0
Imagen: 1_M_29_167640_11158373.jpg | Altura: 1.80 m | PB: 1.42 cm | PP: -2.52 cm | Clase: 0
Imagen: 1_M_21_175260_6894604.jpg | Altura: 1.52 m | PB: 2.58 cm | PP: -2.18 cm | Clase: 0
Imagen: 000290_M_20_175260_7348197.jpg | Altura: 1.64 m | PB: 1.12 cm | PP: -2.66 cm | Clase: 0
Imagen: 000852_F_32_170180_7484274.jpg | Altura: 1.40 m | PB: 1.52 cm | PP: -1.44 cm | Clase: 0
Imagen: 001705_F_26_172720_7683855.jpg | Altura: 1.50 m | PB: 1.04 cm | PP: -0.73 cm | Clase: 0
Imagen: 001239_M_23_180340_7484274.jpg | Altura: 0.91 m | PB: 1.47 cm | PP: -1.88 cm | Clase: 0
Imagen: 001828_F_28_172720_8572896.jpg | Altura: 1.70 m | PB: 0.80 cm | PP: -1.52 cm | Clase: 0
Imagen: 1_F_22_152400_6831102.jpg | Altura: 1.59 m | PB: 1.65 cm | PP: 0.06 cm | Clase: 0
Imagen: 0_F_22_175260_9842955.jpg | Altura: 1.64 m | PB: 0.81 cm | PP: -2.35 cm | Clase: 0
Imagen: 000595_M_37_193040_6259575.jpg | Altura: 1.61 m | PB: 1.21 cm | PP: -1.99 cm | Clase: 0
Imagen: 000492_M_19_190500_11385169.jpg | Altura: 1.76 m | PB: 1.44 cm | PP: -1.77 cm | Clase: 0
Imagen: 0_M_24_190500_11022295.jpg | Altura: 1.74 m | PB: 1.21 cm | PP: -2.00 cm | Clase: 0
Imagen: 001579_M_21_177800_11475888.jpg | Altura: 1.72 m | PB: 1.54 cm | PP: -2.29 cm | Clase: 0
Imagen: 1_M_18_177800_7847149.jpg | Altura: 1.56 m | PB: 1.09 cm | PP: -0.90 cm | Clase: 0
Imagen: 000463_F_24_152400_6713168.jpg | Altura: 1.67 m | PB: 1.37 cm | PP: -0.62 cm | Clase: 0
Imagen: 000363_M_24_182880_12700587.jpg | Altura: 1.48 m | PB: 1.21 cm | PP: 1.46 cm | Clase: 0
Imagen: 0_M_23_172720_7937867.jpg | Altura: 1.86 m | PB: 2.46 cm | PP: -1.35 cm | Clase: 0
Imagen: 001505_F_21_177800_7030682.jpg | Altura: 1.65 m | PB: 1.24 cm | PP: -2.93 cm | Clase: 0
Imagen: 000379_M_25_182880_7711071.png | Altura: 1.48 m | PB: 1.56 cm | PP: -2.72 cm | Clase: 0
Imagen: 001355_M_29_195580_9466473.jpg | Altura: 1.50 m | PB: 1.68 cm | PP: -2.39 cm | Clase: 0
Imagen: 000502_M_22_190500_9525440.png | Altura: 1.56 m | PB: 0.21 cm | PP: 0.13 cm | Clase: 0
Imagen: 001169_M_27_187960_17690104.png | Altura: 1.56 m | PB: 1.05 cm | PP: -0.19 cm | Clase: 0
Imagen: 0_F_31_177800_12156276.jpg | Altura: 1.93 m | PB: 1.44 cm | PP: -1.33 cm | Clase: 0
Imagen: 1_F_28_167640_9071848.jpg | Altura: 1.63 m | PB: 0.75 cm | PP: -0.93 cm | Clase: 0
Imagen: 000320_M_22_167640_9071848.jpg | Altura: 1.43 m | PB: 1.30 cm | PP: -2.76 cm | Clase: 0
Imagen: 0_F_23_162560_5170953.png | Altura: 1.74 m | PB: 2.88 cm | PP: -3.02 cm | Clase: 0
Imagen: 000445_M_31_167640_13879927.jpg | Altura: 1.66 m | PB: 1.14 cm | PP: -1.72 cm | Clase: 0
Imagen: 0_M_31_172720_18506570.jpg | Altura: 1.58 m | PB: 0.40 cm | PP: -1.01 cm | Clase: 0
Imagen: 000540_M_31_185420_12156276.png | Altura: 1.37 m | PB: 1.47 cm | PP: -2.09 cm | Clase: 0
Imagen: 2_F_39_172720_10432625.jpg | Altura: 1.94 m | PB: 2.11 cm | PP: -1.48 cm | Clase: 0
Imagen: 000011_F_19_167640_7257478.jpg | Altura: 1.77 m | PB: 1.12 cm | PP: -0.32 cm | Clase: 0
Imagen: 001403_F_19_170180_6259575.jpg | Altura: 1.55 m | PB: 1.50 cm | PP: -1.31 cm | Clase: 0
Imagen: 000284_M_20_180340_10795499.jpg | Altura: 1.82 m | PB: 1.27 cm | PP: -2.41 cm | Clase: 0
Imagen: 001761_M_23_187960_9661518.jpg | Altura: 1.69 m | PB: 1.64 cm | PP: -1.97 cm | Clase: 0
Imagen: 001858_F_28_170180_7620352.jpg | Altura: 1.66 m | PB: 0.86 cm | PP: -0.74 cm | Clase: 0
Imagen: 0_M_25_167640_14061364.jpg | Altura: 1.64 m | PB: 0.71 cm | PP: -1.99 cm | Clase: 0
Imagen: 2_M_22_175260_8708974.jpg | Altura: 1.56 m | PB: 1.45 cm | PP: -1.71 cm | Clase: 0
Imagen: 0_F_29_162560_9071848.png | Altura: 1.42 m | PB: 0.48 cm | PP: -1.36 cm | Clase: 0
Imagen: 000498_M_21_172720_18234414.png | Altura: 1.54 m | PB: 1.35 cm | PP: -1.23 cm | Clase: 0
Imagen: 1_M_22_185420_8391459.jpg | Altura: 1.67 m | PB: 1.42 cm | PP: -0.06 cm | Clase: 0
Imagen: 000276_M_18_182880_11793402.jpg | Altura: 1.44 m | PB: 2.13 cm | PP: -1.91 cm | Clase: 0
Imagen: 001348_M_22_175260_10958792.jpg | Altura: 1.77 m | PB: 3.88 cm | PP: -2.64 cm | Clase: 0
Imagen: 000508_M_24_177800_9706877.jpg | Altura: 1.67 m | PB: 1.27 cm | PP: -2.15 cm | Clase: 0
Imagen: 1_F_29_172720_15875734.jpg | Altura: 1.80 m | PB: 1.36 cm | PP: -2.16 cm | Clase: 0
Imagen: 001341_M_44_185420_7892507.jpg | Altura: 1.62 m | PB: 0.53 cm | PP: -1.52 cm | Clase: 0
Imagen: 1_M_24_182880_10341907.jpg | Altura: 1.70 m | PB: 3.37 cm | PP: -3.80 cm | Clase: 0
Imagen: 000414_M_29_193040_11203732.jpg | Altura: 1.56 m | PB: 1.89 cm | PP: -2.18 cm | Clase: 0
Imagen: 002118_M_29_182880_10432625.jpg | Altura: 1.66 m | PB: 1.49 cm | PP: 0.41 cm | Clase: 0
Imagen: 000819_F_30_180340_7484274.jpg | Altura: 1.66 m | PB: 1.33 cm | PP: -2.61 cm | Clase: 0
Imagen: 001317_M_31_167640_8550217.jpg | Altura: 1.50 m | PB: 0.89 cm | PP: -0.77 cm | Clase: 0
Imagen: 1_F_32_157480_7620352.jpg | Altura: 1.81 m | PB: 1.70 cm | PP: -1.60 cm | Clase: 0
Imagen: 2_M_23_187960_16692200.jpg | Altura: 1.60 m | PB: 0.77 cm | PP: -1.61 cm | Clase: 0
Imagen: 1_F_21_157480_5942060.png | Altura: 1.53 m | PB: 0.74 cm | PP: -2.14 cm | Clase: 0
Imagen: 001431_F_20_160020_6395653.jpg | Altura: 1.76 m | PB: 1.69 cm | PP: -2.36 cm | Clase: 0
Imagen: 000567_F_24_170180_10115111.png | Altura: 1.83 m | PB: 1.15 cm | PP: -3.34 cm | Clase: 0
Imagen: 002184_M_18_177800_11793402.jpg | Altura: 1.68 m | PB: 0.74 cm | PP: -1.12 cm | Clase: 0
Imagen: 001386_F_21_175260_7711071.jpg | Altura: 1.80 m | PB: 1.20 cm | PP: -1.87 cm | Clase: 0
Imagen: 001766_F_27_175260_7620352.jpg | Altura: 1.84 m | PB: 2.09 cm | PP: -2.07 cm | Clase: 0
Imagen: 001838_F_28_160020_8890411.jpg | Altura: 1.86 m | PB: 0.83 cm | PP: -1.63 cm | Clase: 0
Imagen: 1_M_23_160020_6803886.jpg | Altura: 1.71 m | PB: 0.88 cm | PP: -2.03 cm | Clase: 0
Imagen: 001332_M_22_177800_12927383.jpg | Altura: 1.43 m | PB: 2.04 cm | PP: -3.59 cm | Clase: 0
Imagen: 000132_F_27_160020_5715264.jpg | Altura: 1.57 m | PB: 0.90 cm | PP: -2.64 cm | Clase: 0
Imagen: 001147_M_19_172720_6939964.jpg | Altura: 1.66 m | PB: 2.38 cm | PP: -2.84 cm | Clase: 0
Imagen: 002038_F_32_172720_12655228.jpg | Altura: 1.86 m | PB: 0.83 cm | PP: -2.37 cm | Clase: 0
Imagen: 000355_M_24_180340_7983226.png | Altura: 1.52 m | PB: 1.17 cm | PP: -0.98 cm | Clase: 0
Imagen: 002277_M_35_182880_9480081.jpg | Altura: 1.38 m | PB: 2.14 cm | PP: -2.92 cm | Clase: 0
Imagen: 000611_M_39_185420_8164663.jpg | Altura: 1.71 m | PB: 0.89 cm | PP: -1.16 cm | Clase: 0
Imagen: 001770_M_23_187960_10024392.jpg | Altura: 1.81 m | PB: 1.10 cm | PP: -2.06 cm | Clase: 0
Imagen: 001784_M_23_198120_10432625.jpg | Altura: 1.31 m | PB: 0.59 cm | PP: -2.83 cm | Clase: 0
Imagen: 001109_F_23_162560_7257478.jpg | Altura: 1.49 m | PB: 1.12 cm | PP: -0.44 cm | Clase: 0
Imagen: 0_F_26_160020_6803886.jpg | Altura: 1.43 m | PB: 1.17 cm | PP: -2.32 cm | Clase: 0
Imagen: 001173_M_18_167640_7030682.jpg | Altura: 1.37 m | PB: 1.70 cm | PP: -1.37 cm | Clase: 0
Imagen: 001343_M_34_185420_14056827.jpg | Altura: 1.49 m | PB: 1.10 cm | PP: -1.23 cm | Clase: 0
Imagen: 000188_F_29_172720_7280158.jpg | Altura: 1.62 m | PB: 1.33 cm | PP: -1.47 cm | Clase: 0
Imagen: 001778_M_23_193040_7620352.jpg | Altura: 1.50 m | PB: 1.15 cm | PP: -2.14 cm | Clase: 0
Imagen: 000986_F_21_162560_7937867.jpg | Altura: 1.72 m | PB: 0.98 cm | PP: -1.39 cm | Clase: 0
Imagen: 000182_F_29_152400_5533827.jpg | Altura: 1.64 m | PB: 1.49 cm | PP: -2.51 cm | Clase: 0
Imagen: 000620_F_30_154940_6803886.jpg | Altura: 2.08 m | PB: 1.42 cm | PP: -0.19 cm | Clase: 0
Imagen: 002304_M_38_193040_10976936.jpg | Altura: 1.82 m | PB: 1.30 cm | PP: -2.55 cm | Clase: 0
Imagen: 001138_F_31_160020_6713168.jpg | Altura: 1.26 m | PB: 2.63 cm | PP: -1.55 cm | Clase: 0
Imagen: 000633_F_20_172720_7497882.jpg | Altura: 1.39 m | PB: 1.45 cm | PP: -0.35 cm | Clase: 0
Imagen: 000350_M_23_190500_9842955.jpg | Altura: 1.75 m | PB: 1.04 cm | PP: -2.59 cm | Clase: 0
Imagen: 2_F_30_165100_11113014.jpg | Altura: 1.61 m | PB: 2.11 cm | PP: -2.67 cm | Clase: 0
Imagen: 001470_F_22_165100_5760623.jpg | Altura: 1.61 m | PB: 0.69 cm | PP: -1.82 cm | Clase: 0
Imagen: 001108_M_28_177800_7711071.jpg | Altura: 1.86 m | PB: 1.21 cm | PP: -2.12 cm | Clase: 0
Imagen: 1_F_29_165100_9434722.jpg | Altura: 1.55 m | PB: 1.71 cm | PP: -3.17 cm | Clase: 0
Imagen: 002072_M_28_185420_8255382.jpg | Altura: 1.77 m | PB: 1.37 cm | PP: -2.27 cm | Clase: 0
Imagen: 001094_F_20_172720_8391459.jpg | Altura: 1.64 m | PB: 0.63 cm | PP: -1.31 cm | Clase: 0
Imagen: 001433_F_20_165100_4535924.jpg | Altura: 1.66 m | PB: 1.37 cm | PP: -0.73 cm | Clase: 0
Imagen: 001475_F_20_172720_6577090.jpg | Altura: 1.61 m | PB: 0.83 cm | PP: -2.28 cm | Clase: 0
Imagen: 002021_M_27_182880_10704781.jpg | Altura: 1.61 m | PB: 0.97 cm | PP: -1.50 cm | Clase: 0
Imagen: 000907_F_22_172720_7711071.jpg | Altura: 1.81 m | PB: 1.34 cm | PP: -2.08 cm | Clase: 0
Imagen: 000849_F_27_175260_14968548.jpg | Altura: 1.51 m | PB: 0.89 cm | PP: -2.66 cm | Clase: 0
Imagen: 000688_F_21_172720_7030682.png | Altura: 1.66 m | PB: 1.07 cm | PP: 0.28 cm | Clase: 0
Imagen: 001755_M_23_185420_9071848.jpg | Altura: 1.88 m | PB: 0.85 cm | PP: -2.04 cm | Clase: 0
Imagen: 000930_F_26_172720_12020199.jpg | Altura: 1.72 m | PB: 0.96 cm | PP: -1.80 cm | Clase: 0
Imagen: 002189_M_18_187960_11793402.jpg | Altura: 1.30 m | PB: 0.73 cm | PP: -1.81 cm | Clase: 0
Imagen: 000896_F_22_167640_7711071.jpg | Altura: 1.76 m | PB: 0.80 cm | PP: -0.73 cm | Clase: 0
Imagen: 0_F_22_157480_7493346.jpg | Altura: 1.73 m | PB: 2.00 cm | PP: -2.60 cm | Clase: 0
Imagen: 000261_F_48_177800_13063461.jpg | Altura: 1.95 m | PB: 3.50 cm | PP: -0.30 cm | Clase: 0
Imagen: 1_M_38_167640_7937867.jpg | Altura: 1.58 m | PB: 2.12 cm | PP: -0.77 cm | Clase: 0
Imagen: 0_F_25_162560_8073945.jpg | Altura: 1.63 m | PB: 0.84 cm | PP: -3.04 cm | Clase: 0
Imagen: 000137_F_27_177800_8799693.jpg | Altura: 1.67 m | PB: 1.62 cm | PP: -2.40 cm | Clase: 0
Imagen: 001863_F_29_152400_4762720.jpg | Altura: 1.60 m | PB: 1.42 cm | PP: -2.60 cm | Clase: 0
Imagen: 002168_M_30_187960_9071848.jpg | Altura: 1.48 m | PB: 1.29 cm | PP: -2.13 cm | Clase: 0
Imagen: 000213_F_31_162560_9434722.jpg | Altura: 1.86 m | PB: 1.31 cm | PP: -1.55 cm | Clase: 0
Imagen: 000779_F_19_160020_8164663.jpg | Altura: 1.80 m | PB: 0.82 cm | PP: -2.54 cm | Clase: 0
Imagen: 002179_M_30_193040_9752237.jpg | Altura: 1.66 m | PB: 0.93 cm | PP: -1.71 cm | Clase: 0
Imagen: 001692_M_22_195580_12110917.jpg | Altura: 1.89 m | PB: 0.88 cm | PP: 0.29 cm | Clase: 0
Imagen: 0_F_24_165100_7030682.jpg | Altura: 1.68 m | PB: 1.40 cm | PP: -1.48 cm | Clase: 0
Imagen: 001188_M_25_182880_12201636.jpg | Altura: 1.73 m | PB: 1.36 cm | PP: -2.01 cm | Clase: 0
Imagen: 001854_M_24_187960_11475888.jpg | Altura: 1.81 m | PB: 1.08 cm | PP: -1.27 cm | Clase: 0
Imagen: 000982_F_25_170180_7937867.jpg | Altura: 1.59 m | PB: 1.59 cm | PP: -2.17 cm | Clase: 0
Imagen: 1_F_22_170180_9752237.jpg | Altura: 1.87 m | PB: 0.54 cm | PP: -1.70 cm | Clase: 0
Imagen: 001950_F_30_170180_7574993.jpg | Altura: 1.50 m | PB: 1.95 cm | PP: -3.30 cm | Clase: 0
Imagen: 001602_F_24_172720_12246995.jpg | Altura: 1.69 m | PB: 1.64 cm | PP: -1.70 cm | Clase: 0
Imagen: 000901_F_28_157480_6032779.jpg | Altura: 1.65 m | PB: 1.46 cm | PP: -1.52 cm | Clase: 0
Imagen: 001015_F_23_167640_8073945.jpg | Altura: 1.45 m | PB: 0.87 cm | PP: -1.48 cm | Clase: 0
Imagen: 000552_M_34_187960_8881339.jpg | Altura: 1.60 m | PB: 1.18 cm | PP: -2.35 cm | Clase: 0
Imagen: 001182_M_26_190500_13789209.jpg | Altura: 1.50 m | PB: 1.52 cm | PP: -1.87 cm | Clase: 0
Imagen: 0_F_34_152400_7484274.jpg | Altura: 1.69 m | PB: 1.03 cm | PP: -0.57 cm | Clase: 0
Imagen: 000462_M_31_185420_9661518.jpg | Altura: 1.66 m | PB: 0.85 cm | PP: -0.68 cm | Clase: 0
Imagen: 001016_F_25_127000_8073945.jpg | Altura: 1.49 m | PB: 2.23 cm | PP: -0.04 cm | Clase: 0
Imagen: 001891_M_25_185420_13380976.jpg | Altura: 1.70 m | PB: 0.99 cm | PP: -1.29 cm | Clase: 0
Imagen: 0_F_24_165100_7620352.jpg | Altura: 1.50 m | PB: 0.71 cm | PP: -1.49 cm | Clase: 0
Imagen: 001137_M_37_185420_7801788.jpg | Altura: 1.62 m | PB: 0.88 cm | PP: -1.42 cm | Clase: 0
Imagen: 001404_F_22_154940_11158373.jpg | Altura: 1.12 m | PB: 3.46 cm | PP: -2.48 cm | Clase: 0
Imagen: 001924_M_26_177800_8890411.jpg | Altura: 1.57 m | PB: 1.16 cm | PP: -3.03 cm | Clase: 0
Imagen: 002076_F_33_162560_6939964.jpg | Altura: 1.82 m | PB: 0.85 cm | PP: -1.87 cm | Clase: 0
Imagen: 001277_M_29_182880_9661518.jpg | Altura: 1.59 m | PB: 0.75 cm | PP: -1.51 cm | Clase: 0
Imagen: 001314_M_23_165100_12927383.jpg | Altura: 1.57 m | PB: 1.03 cm | PP: -1.99 cm | Clase: 0
Imagen: 0_M_22_190500_14514957.jpg | Altura: 1.62 m | PB: 1.39 cm | PP: -1.73 cm | Clase: 0
Imagen: 001306_M_37_175260_8618256.jpg | Altura: 1.66 m | PB: 1.36 cm | PP: -0.97 cm | Clase: 0
Imagen: 000552_M_34_187960_7838077.jpg | Altura: 1.61 m | PB: 1.09 cm | PP: -0.56 cm | Clase: 0
Imagen: 000299_M_21_170180_6803886.jpg | Altura: 1.39 m | PB: 1.81 cm | PP: -1.87 cm | Clase: 0
Imagen: 001321_M_25_185420_11385169.jpg | Altura: 1.93 m | PB: 1.46 cm | PP: -1.11 cm | Clase: 0
Imagen: 1_M_21_177800_6577090.jpg | Altura: 1.82 m | PB: 1.27 cm | PP: -0.61 cm | Clase: 0
Imagen: 001070_F_33_167640_11929480.jpg | Altura: 1.52 m | PB: 0.87 cm | PP: -0.72 cm | Clase: 0
Imagen: 000842_F_23_149860_5896701.jpg | Altura: 1.62 m | PB: 1.41 cm | PP: -1.40 cm | Clase: 0
Imagen: 001121_F_31_170180_8663615.jpg | Altura: 1.47 m | PB: 3.49 cm | PP: -1.53 cm | Clase: 0
Imagen: 001336_M_20_180340_8890411.jpg | Altura: 1.53 m | PB: 1.15 cm | PP: -1.92 cm | Clase: 0
Imagen: 000011_F_19_167640_9071848.jpg | Altura: 1.45 m | PB: 1.37 cm | PP: -1.99 cm | Clase: 0
Imagen: 001296_M_28_195580_7937867.jpg | Altura: 1.45 m | PB: 2.86 cm | PP: -2.85 cm | Clase: 0
Imagen: 000912_F_23_154940_5170953.jpg | Altura: 1.46 m | PB: 0.48 cm | PP: -1.55 cm | Clase: 0
Imagen: 001183_M_32_175260_9071848.jpg | Altura: 1.59 m | PB: 1.45 cm | PP: -1.27 cm | Clase: 0
Imagen: 000544_M_33_172720_10886218.png | Altura: 1.49 m | PB: 1.20 cm | PP: -1.36 cm | Clase: 0
Imagen: 000705_F_22_157480_5443109.jpg | Altura: 1.76 m | PB: 1.26 cm | PP: -0.61 cm | Clase: 0
Imagen: 002126_M_29_185420_16782919.jpg | Altura: 1.76 m | PB: 0.80 cm | PP: -0.73 cm | Clase: 0
Imagen: 001599_F_24_170180_10115111.png | Altura: 1.90 m | PB: 1.00 cm | PP: -1.28 cm | Clase: 0
Imagen: 001174_M_18_187960_7030682.jpg | Altura: 1.80 m | PB: 0.92 cm | PP: -1.11 cm | Clase: 0
Imagen: 000267_F_17_157480_6350294.jpg | Altura: 1.51 m | PB: 0.67 cm | PP: -1.51 cm | Clase: 0
Imagen: 002173_M_18_180340_7937867.jpg | Altura: 1.74 m | PB: 1.19 cm | PP: -2.73 cm | Clase: 0
Imagen: 001186_M_23_177800_7257478.png | Altura: 1.69 m | PB: 0.90 cm | PP: 0.08 cm | Clase: 0
Imagen: 0_F_26_154940_6350294.jpg | Altura: 1.80 m | PB: 0.69 cm | PP: -1.11 cm | Clase: 0
Imagen: 1_F_26_167640_7665712.jpg | Altura: 1.69 m | PB: 0.88 cm | PP: -1.61 cm | Clase: 0
Imagen: 000383_M_26_177800_10614062.jpg | Altura: 1.78 m | PB: 1.78 cm | PP: -1.69 cm | Clase: 0
Imagen: 1_F_30_180340_8845052.jpg | Altura: 1.44 m | PB: 1.41 cm | PP: 5.18 cm | Clase: 0
Imagen: 000781_F_22_160020_7257478.jpg | Altura: 1.61 m | PB: 1.65 cm | PP: -0.29 cm | Clase: 0
Imagen: 001291_M_28_172720_10432625.png | Altura: 1.31 m | PB: 2.31 cm | PP: 1.10 cm | Clase: 0
Imagen: 1_M_20_162560_9888314.jpg | Altura: 1.90 m | PB: 0.73 cm | PP: -1.50 cm | Clase: 0
Imagen: 1_F_23_177800_10886218.jpg | Altura: 1.78 m | PB: 2.90 cm | PP: -2.99 cm | Clase: 0
Imagen: 000666_F_26_165100_6803886.jpg | Altura: 1.62 m | PB: 1.87 cm | PP: -1.98 cm | Clase: 0
Imagen: 000100_F_19_172720_9207926.jpg | Altura: 1.56 m | PB: 0.54 cm | PP: -1.37 cm | Clase: 0
Imagen: 000102_F_25_162560_6622449.jpg | Altura: 1.75 m | PB: 1.30 cm | PP: -2.65 cm | Clase: 0
Imagen: 000572_F_25_172720_6667807.jpg | Altura: 1.60 m | PB: 0.67 cm | PP: -0.08 cm | Clase: 0
Imagen: 000988_F_23_162560_7937867.jpg | Altura: 1.52 m | PB: 0.52 cm | PP: -3.16 cm | Clase: 0
